"Key","Method","Parameters","Current_Source","Baseline_Source","Mean_Current","Mean_NuGet","Mean_DeltaPct","Allocated_Current","Allocated_NuGet","Allocated_DeltaPct"
"Method=UserOnlyStore_CreateAsync|","UserOnlyStore_CreateAsync","","LocalProject","NuGet(10.0.*)","412.0 μs","398.0 μs","3.52","51.61 KB","51.61 KB","0"
"Method=UserOnlyStore_DeleteAsync|","UserOnlyStore_DeleteAsync","","LocalProject","NuGet(10.0.*)","67.04 μs","68.79 μs","-2.54","18 KB","18.02 KB","-0.11"
"Method=UserOnlyStore_GetUserQueryAsync|UserCount=0","UserOnlyStore_GetUserQueryAsync","UserCount=0","LocalProject","NuGet(10.0.*)","19.43 ns","21.48 ns","-9.54","104 B","104 B","0"
"Method=UserOnlyStore_GetUserQueryAsync|UserCount=1","UserOnlyStore_GetUserQueryAsync","UserCount=1","LocalProject","NuGet(10.0.*)","4,742.44 ns","5,512.07 ns","-20","5578 B","5578 B","0"
"Method=UserOnlyStore_GetUserQueryAsync|UserCount=10","UserOnlyStore_GetUserQueryAsync","UserCount=10","LocalProject","NuGet(10.0.*)","51,987.46 ns","50,370.57 ns","2","72356 B","72356 B","0"
"Method=UserOnlyStore_GetUserQueryAsync|UserCount=100","UserOnlyStore_GetUserQueryAsync","UserCount=100","LocalProject","NuGet(10.0.*)","2,857,675.36 ns","2,920,109.15 ns","0","3183029 B","3184156 B","-0.04"
"Method=UserOnlyStore_MapUserAggregate|UserCount=10;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","UserOnlyStore_MapUserAggregate","UserCount=10;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","LocalProject","NuGet(10.0.*)","24.75 μs","24.74 μs","0.04","20.7 KB","20.7 KB","0"
"Method=UserOnlyStore_MapUserAggregate|UserCount=100;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","UserOnlyStore_MapUserAggregate","UserCount=100;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","LocalProject","NuGet(10.0.*)","243.25 μs","244.02 μs","-0.32","207.03 KB","207.03 KB","0"
"Method=UserStore_AddToRoleAsync|","UserStore_AddToRoleAsync","","LocalProject","NuGet(10.0.*)","57.51 μs","59.25 μs","-2.94","26.99 KB","26.99 KB","0"
"Method=UserStore_MapUserAggregate|UserCount=10;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","UserStore_MapUserAggregate","UserCount=10;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","LocalProject","NuGet(10.0.*)","28.02 μs","28.85 μs","-2.88","22.81 KB","22.81 KB","0"
"Method=UserStore_MapUserAggregate|UserCount=100;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","UserStore_MapUserAggregate","UserCount=100;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","LocalProject","NuGet(10.0.*)","279.88 μs","280.54 μs","-0.24","228.13 KB","228.13 KB","0"
