"Key","Method","Parameters","Current_Source","Baseline_Source","Mean_Current","Mean_NuGet","Mean_DeltaPct","Allocated_Current","Allocated_NuGet","Allocated_DeltaPct"
"Method=UserOnlyStore_CreateAsync|","UserOnlyStore_CreateAsync","","LocalProject","NuGet(9.0.5)","395.7 μs","410.4 μs","-3.58","52.08 KB","52.08 KB","0"
"Method=UserOnlyStore_DeleteAsync|","UserOnlyStore_DeleteAsync","","LocalProject","NuGet(9.0.5)","67.43 μs","68.05 μs","-0.91","18 KB","18 KB","0"
"Method=UserOnlyStore_GetUserQueryAsync|UserCount=0","UserOnlyStore_GetUserQueryAsync","UserCount=0","LocalProject","NuGet(9.0.5)","19.55 ns","19.11 ns","2.3","104 B","104 B","0"
"Method=UserOnlyStore_GetUserQueryAsync|UserCount=1","UserOnlyStore_GetUserQueryAsync","UserCount=1","LocalProject","NuGet(9.0.5)","4,741.95 ns","4,396.01 ns","0","5578 B","5578 B","0"
"Method=UserOnlyStore_GetUserQueryAsync|UserCount=10","UserOnlyStore_GetUserQueryAsync","UserCount=10","LocalProject","NuGet(9.0.5)","51,588.76 ns","49,851.10 ns","4.08","72345 B","72356 B","-0.02"
"Method=UserOnlyStore_GetUserQueryAsync|UserCount=100","UserOnlyStore_GetUserQueryAsync","UserCount=100","LocalProject","NuGet(9.0.5)","1,092,449.01 ns","1,084,982.31 ns","0","3181718 B","3182644 B","-0.03"
"Method=UserOnlyStore_MapUserAggregate|UserCount=10;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","UserOnlyStore_MapUserAggregate","UserCount=10;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","LocalProject","NuGet(9.0.5)","23.71 μs","24.74 μs","-4.16","20.7 KB","20.7 KB","0"
"Method=UserOnlyStore_MapUserAggregate|UserCount=100;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","UserOnlyStore_MapUserAggregate","UserCount=100;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","LocalProject","NuGet(9.0.5)","243.20 μs","240.26 μs","1.22","207.03 KB","207.03 KB","0"
"Method=UserStore_AddToRoleAsync|","UserStore_AddToRoleAsync","","LocalProject","NuGet(9.0.5)","57.64 μs","59.01 μs","-2.32","26.99 KB","26.99 KB","0"
"Method=UserStore_MapUserAggregate|UserCount=10;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","UserStore_MapUserAggregate","UserCount=10;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","LocalProject","NuGet(9.0.5)","27.87 μs","28.36 μs","-1.73","22.81 KB","22.81 KB","0"
"Method=UserStore_MapUserAggregate|UserCount=100;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","UserStore_MapUserAggregate","UserCount=100;ClaimsPerUser=2;RolesPerUser=2;LoginsPerUser=2;TokensPerUser=2","LocalProject","NuGet(9.0.5)","274.48 μs","279.76 μs","-1.89","228.13 KB","228.13 KB","0"
